CustomerID,InteractionID,InteractionDate,Platform,InteractionType,Sentiment
2dcb9523-356b-40b2-a67b-1f27797de261,e5d15761-d0a7-4329-89e3-79a892c56097,2023-07-11,Uncategorized,Comment,Uncategorized
e12c37b3-7d4d-472f-9fd8-0df2cb3001aa,02f9f376-70ae-4fcd-9070-1db977939948,2023-07-06,Twitter,Share,Uncategorized
08a911a3-65e6-4f5d-a6a1-ae7ddcbe28a2,a83fa04c-f109-4f24-8ce1-2078154f6a1c,2024-05-24,Instagram,Comment,Neutral
efdfdfc9-5dbb-4478-911a-101a390a0285,28a69c4b-a2e4-4c74-a130-1132d7733fdf,2023-11-01,Instagram,Like,Neutral
ca1e90f6-0e5f-492e-ab92-252ff540da18,d9d1c6f8-5e15-4738-b52b-13c2982420cc,2023-07-08,Instagram,Like,Uncategorized
3e44871b-f56c-4576-b1ca-d1dc999e2166,0c409883-8396-48e4-83fb-887329848696,2023-12-18,Instagram,Comment,Positive
aa5eea4b-c948-41f4-9285-229a470002aa,4034dadf-6541-40d6-a7f0-16b20a009c04,2023-11-15,Instagram,Share,Positive
7d83304d-2501-4c9f-ba63-a1a14343e51f,bcfc43e7-c5aa-4dbd-9961-0e108784b199,2024-03-29,Instagram,Comment,Uncategorized
bd90f5cb-05a7-40f4-acb1-eedf48b58ffa,d2a06664-703d-4bc1-9401-a06f8c43fda5,2024-05-02,Uncategorized,Like,Neutral
63ee220c-19ae-4113-b45c-276b22b068e1,67cdfb0b-3da6-46b8-a1f4-03b2abc81f58,2023-11-18,Uncategorized,Comment,Positive
481bcc62-9dcb-4766-bbdd-79f5554d73f8,785b7854-4548-4251-83f2-a25da78bfe40,2024-05-28,Twitter,Like,Positive
9c16dd71-a1f0-4801-8f00-860c2ee154a1,be6a0be7-84a8-428e-8526-13c3500e35e9,2024-06-27,Instagram,Comment,Neutral
e8d8dccc-96b4-4451-ac1b-c4de6d18c3dd,26e650e5-a8af-45ea-9c49-3569a7d1a2fe,2023-08-31,Facebook,Comment,Negative
f0c55dc8-d7f6-481d-8992-af3ce9453a51,753ff148-793b-4db5-a3e1-16f6e470dd0a,2023-08-27,Uncategorized,Comment,Uncategorized
